"","square_meters","bathrooms_number","lift","rooms_number","other_features","availability","condominium_fees","year_of_construction","conditions","floor","heating_centralized","selling_price","binary_car_parking","Macro_zone","score_feature"
"1",135,"2","yes","3","optic fiber | security door | balcony | full day concierge | cellar","available",213,1967,"excellent / refurbished",2,"central",1125000,"no","Centro_Storico",2.644
"2",57,"1","yes","2","optic fiber | video entryphone | alarm system | security door | external exposure | closet | half-day concierge | centralized tv system | partially furnished | window frames in double glass / pvc","available",332,2010,"excellent / refurbished",1,"central",5e+05,"yes","Circonvalla",11.865
"3",92,"1","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | half-day concierge | furnished | cellar | shared garden | window frames in double glass / pvc","available",89,1960,"excellent / refurbished",1,"central",395000,"no","Esterno",12.173
"4",63,"1","no","2","optic fiber | video entryphone | security door | full day concierge | window frames in double glass / pvc","unknown",95,1976,"excellent / refurbished",0.5,"central",340000,"no","Esterno",4.005
"5",38,"1","no","1","optic fiber | security door | internal exposure | centralized tv system | furnished | cellar | window frames in double glass / pvc","available",309,1930,"excellent / refurbished",1,"independent",199000,"no","Circonvalla",6.305
"6",45,"1","no","1","electric gate | optic fiber | security door | internal exposure | centralized tv system | furnished | cellar | window frames in glass / wood","available",3,1911,"good condition / liveable",1,"central",299000,"no","Circonvalla",7.631
"7",60,"1","no","2","optic fiber | security door | external exposure | balcony | centralized tv system | furnished | window frames in double glass / pvc","unknown",69,1950,"good condition / liveable",5,"central",145000,"no","Esterno",6.52
"8",230,"3","yes","5+","electric gate | security door | closet | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / metal | double exposure","available",273,1970,"to be refurbished",1,"central",1400000,"no","Circonvalla",10.95
"9",50,"1","no","2","electric gate | optic fiber | alarm system | security door | internal exposure | closet | centralized tv system | furnished | window frames in double glass / pvc","available",89,1900,"excellent / refurbished",2,"independent",590000,"no","Centro_Storico",9.477
"10",170,"2","yes","4","security door | balcony | terrace | half-day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","available",243,1970,"good condition / liveable",6,"central",1290000,"no","Circonvalla",8.669
"11",66,"1","yes","2","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal","available",3,1970,"new / under construction",-0.5,"independent",419000,"no","Centro_Storico",10.767
"12",60,"2","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | centralized tv system | furnished | window frames in double glass / pvc","available",272,1940,"excellent / refurbished",0,"independent",220000,"no","Esterno",10.426
"13",60,"1","no","2","electric gate | optic fiber | security door | external exposure | closet | balcony | centralized tv system | furnished | window frames in double glass / metal","available",54,1940,"good condition / liveable",1,"central",199000,"no","Esterno",8.993
"14",70,"1","no","3","electric gate | optic fiber | video entryphone | security door | centralized tv system | window frames in double glass / pvcdouble exposure","available",89,1960,"excellent / refurbished",0.5,"central",350000,"no","Esterno",4.281
"15",85,"2","yes","2","hydromassage | electric gate | fireplace | optic fiber | security door | closet | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / wood | double exposure","not available yet",129,1900,"good condition / liveable",3,"independent",1050000,"no","Centro_Storico",17.463
"16",86,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in triple glass / pvcdouble exposure","available",129,1970,"excellent / refurbished",8,"central",465000,"yes","Esterno",8.432
"17",40,"1","yes","2","security door | window frames in double glass / metal | double exposure","available",295,2023,"new / under construction",2,"independent",230000,"no","Esterno",3.528
"18",110,"1","yes","4","kitchen | terrace | cellar | window frames in glass / wood | exposure north, south","available",129,1960,"good condition / liveable",1,"central",495000,"no","Circonvalla",14.4
"19",117,"2","yes","4","optic fiber | video entryphone | security door | external exposure | centralized tv system | partially furnished | shared garden | window frames in double glass / pvc","available",332,1960,"new / under construction",0,"independent",255000,"no","Esterno",7.796
